species_name,establishment_light_environment_index,plant_tolerance_snow,fire_time_from_fire_to_fruiting,parasitic,reproductive_maturity,vegetative_reproduction_ability,plant_tolerance_calcicole,seedbank_location,clonal_spread_mechanism,seed_viability,lifespan,post_fire_flowering,plant_height,flowering_cues,fire_time_from_fire_to_flowering,pollination_syndrome,pollination_system,life_history_ephemeral_class,flowering_time,fire_time_from_fire_to_flowering_decline,plant_tolerance_salt,plant_type_by_resource_use,serotiny,plant_climbing_mechanism,resprouting_capacity_non_fire_disturbance,dispersal_syndrome,flower_colour,seedbank_longevity_class,nitrogen_fixing,plant_tolerance_soil_salinity,fruit_colour,post_fire_recruitment,seed_germination,seedbank_longevity,resprouting_capacity,root_structure,seed_dormancy_class,plant_growth_substrate,plant_tolerance_fire,seed_germination_treatment,seedling_germination_location,resprouting_capacity_juvenile,sex_type,bud_bank_location,seedling_establishment_conditions,plant_flood_regime_classification,plant_physical_defence_structures,sprout_depth,plant_tolerance_inundation,flower_structural_sex_type,resprouting_capacity_proportion_individuals,stem_growth_habit,fruiting_time,seed_germination_time,plant_tolerance_water_logged_soils,fire_time_from_fire_to_50_percent_flowering,recruitment_time,leaf_type,reproductive_light_environment_index,fire_time_from_fire_to_50_percent_fruiting,fire_time_from_fire_to_peak_flowering,storage_organ,competitive_stratum,ploidy,root_system_type,life_history,germination_treatment,dispersers,plant_growth_form,dispersal_unit,resprouting_capacity_time_from_germination,genome_size
Seringia denticulata,,,,,,,,,,,,,1 (1),,,,,,,,,,,,,,,,,,,,,,resprouts (1),,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Seringia hillii,,,60 (1),,5 (2),,,soil_seedbank (2),,,,,1 (1); 3 (1),,,,,,yynnnnnnyyyy (2),,,,,,,,blue_purple (1),,,,,,,,fire_killed (2); resprouts (1),,,,,,,,hermaphrodite (1),,,,,,,,,prostrate (1),,,,,,,,,,,,,,perennial (2),,,shrub (4),,,
Setaria italica,,,,,,not_vegetative (1),,,,,,,0.3 (1); 0.6 (1); 1.5 (2); 2 (1),,,wind (1),,,yynnnnnnnnny (1),,,,,,,epizoochory (1),,,,,white (1),,,,,non_mycorrhizal (1),,,,,,,andromonoecious (2),,,,,,,,,erect (1),,,,,,,,,,,,,,annual (4); perennial (1),,,graminoid (4); herb (4); tussock (2),,,
Setaria palmifolia,,,6.97674418604651 (1),,1 (1),not_vegetative (1),,,,,,,0.9 (1); 1.5 (2); 3 (1),,12 (1); 3.72093023255814 (1),wind (1),,,yynnnnnnnnny (2),,,,,,,epizoochory (1),,,,,,,,,resprouts (3),non_mycorrhizal (1),,,,,,,andromonoecious (2),,,,,,,,,erect (1); rhizomatous (1),,,,,,,,,,rhizome (1),,,,perennial (3),,,graminoid (2); herb (3); tussock (2),,,
Setaria parviflora,,,2.32558139534884 (1),,1 (1),not_vegetative (1),,,,,,,0.3 (1); 0.4 (1); 0.6 (1); 1.2 (1),,12 (1); 2.09302325581395 (1),self (1); wind (1),,,yynnnnnnnnny (2),,,,,,,anemochory (2),,,,,,,,,resprouts (2),,,,,,,,andromonoecious (1),,,,,,,,,decumbent (1); erect (1); rhizomatous (1); spreading (1),yyyyynnnnnny (1),,,,,,,,,rhizome (1),,,,perennial (4),,wind (2),graminoid (6); herb (5),,,
Setaria pumila,,,,,,not_vegetative (1),,,,,,,0.3 (1); 0.6 (1); 1 (1); 1.3 (1),,,wind (1),,,yynnnnnnnnny (1),,,,,,,epizoochory (1),,,,,,,,,,arbuscular_mycorrhizal (1),,,,,,,andromonoecious (2),,,,,,,,,erect (1); stoloniferous (1),,,,,,,,,,,,,,annual (5),,,graminoid (4); herb (4); tussock (2),,,
Setaria pumila subsp. pumila,,,,,,not_vegetative (1),,,,,,,,,,wind (1),,,,,,,,,,epizoochory (1),,,,,,,,,,arbuscular_mycorrhizal (1),,,,,,,andromonoecious (1),,,,,,,,,,,,,,,,,,,,,,,annual (1),,,tussock (2),,,
Setaria pumila subsp. subtesselata,,,,,,not_vegetative (1),,,,,,,1.3 (1),,,wind (1),,,,,,,,,,epizoochory (1),,,,,,,,,,arbuscular_mycorrhizal (1),,,,,,,andromonoecious (1),,,,,,,,,,,,,,,,,,,,,,,annual (1),,,tussock (2),,,
Sherardia arvensis,,,,,,,,,,,50--100 (1),,0.038 (1),,,,,,nnnnnnnnyyyy (1),,,,,,,,pink (1),long_persistent (1),,,,post_fire_recruitment (1),,10-- (1),,,,,,,,,,,establish_anytime (1),,,,,,,decumbent (2); erect (1); prostrate (4),,,,,,,,,,,,,,annual (5),,,herb (5),,,
Sida rhombifolia,,,6.51162790697674 (1),,0.538461538461538 (1),not_vegetative (1),,,non_clonal (1),,,,0.3 (1); 1 (3); 1.5 (2); 2 (1),,3.48837209302326 (1); 6.51162790697674 (1),butterfly (1),,,nnnnnnnnnynn (2); nynnnnnnnnnn (1); yyynnnnyyyyy (1),,,,,,,anemochory (1); endozoochory (1),yellow_orange (1),,non_nitrogen_fixer (1),,,post_fire_recruitment (1),,,fire_killed (2); resprouts (2),mycorrhizal (1),,,,,,,,basal_stem_buds (1),,,absent (1),,,,,erect (1),yyyyynnnnnny (1); yyyyyynnnnnn (1),17 (1); 42 (1),,,,,,,36 (1),,,,,perennial (4),,birds (1); wind (1),herb (4); shrub (4); subshrub (3); tree (1),,,
Sida spinosa,,,,,,,,,,,0--1 (1),,0.2 (1); 1 (2); 2 (2),,,,,,nyyyyyyyynnn (1); yyyyyynnnnnn (1),,,,,,,epizoochory (1); zoochory (1),,,,,,,0.05 (1); 0.2 (2); 0.65 (1); 0.8 (1); 0.95 (1); 0.96 (1); 1 (6),,,,,,,,,,,,,,,,,,,erect (1); spreading (1),nyyyyyyyyyyn (1),15 (1),,,,,,,,,,,,perennial (2),,,herb (3); shrub (4); subshrub (2),,,
Sigesbeckia orientalis,,days (2),3.72093023255814 (1),not_parasitic (2),0--1 (2); 0.307692307692308 (1); 1 (1),not_vegetative (3),,soil_seedbank (1),non_clonal (1),,50--100 (1); <1 (2),,0.15 (1); 0.4 (1); 0.5 (1); 0.8 (5); 1 (2),,2.55813953488372 (1); 3.72093023255814 (1),insect (3),biotic_unspecialised (1),,nnnnnnnnnnyn (1); nnnnnnnnnynn (2); nnnnnnnnyyyn (1); nnnynnnnnnnn (1); yyyyynnnnnny (3); yyyyyynnnnnn (1); yyyyyyyyyyyy (1),,glycophyte (1); salinity_tolerance_undefined (1),,,,,anemochory (1); barochory (1); epizoochory (3); zoochory (1),yellow_orange (2),persistent (3); widely_dispersed (1),non_nitrogen_fixer (3),,black (5); brown (1); purple (1),post_fire_recruitment (2),0.53 (1); 0.67 (1); 0.68 (1); 0.75 (1); 0.82 (1); 0.9 (1); 0.95 (1),2-- (2),fire_killed (6),arbuscular_mycorrhizal (1),,,,,,juvenile_fire_killed (1),gynomonoecious (1),,establish_anytime (1),,absent (2),,not_applicable (2),bisexual (1); unisexual (1),,erect (6),yyyyyynnnnnn (1),77 (1),not_applicable (2),,,,,,,,,,,annual (7); short_lived_perennial (1),,mammals (2); wind (1),herb (15); subshrub (1),,,
Silene gallica,,,,,,,,soil_seedbank (1),,,,,0.1 (1); 0.5 (1); 0.75 (1),,,,,,nnnnnnnnyyyy (1),,,,,,,,blue_purple (1); pink (1); white_cream (1),,non_nitrogen_fixer (1),,,,,,fire_killed (1),non_mycorrhizal (1),,,,,,,,,,,,,,,,decumbent (1); erect (3),,,,,,,,,,,,,,annual (8),,,herb (8),,,
Silene gallica var. gallica,,,8.83720930232558 (1),not_parasitic (1),0.730769230769231 (1),,,,,,50--100 (1),,0.1 (1); 0.5 (2),,8.37209302325581 (1); 8.83720930232558 (1),,,,nnnnnnnnnynn (1); nnnnnnnnynnn (1); nnnnyyyyyynn (1),,,,,,,,,long_persistent (1),,,,post_fire_recruitment (1),,10-- (1),fire_killed (2),,,,,,,,,,establish_anytime (1),,absent (1),,,,,decumbent (1); erect (2),,,,,,,,,,,,,,annual (5),,,herb (7),,,
Silene gallica var. quinquevulnera,,,,,,,,,,,,,0.1 (1); 0.5 (1); 0.6 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decumbent (1); erect (3),,,,,,,,,,,,,,annual (6),,,herb (6),,,
Sisymbrium irio,,,,,,,,,,,,,0.1 (1); 0.25 (3); 0.6 (5),,,,,,nnnnnnnnyyyn (2); nnnnnnyyyyyy (2),,,,,,,,yellow_orange (1),,,,,,,,fire_killed (3),,,,,,,,,,,,,,,,,erect (3); rosette (3),,,,,,,,,,,,,,annual (6); biennial (6),,,herb (7),,,
Sisymbrium officinale,,,,,,,,,,,,,0.75 (1); 0.9 (4),,,,,,,,,,,,,,yellow_orange (1),,,,purple (1),,,,,,,,,,,,,,,,,,,,,erect (4); rosette (3),,,,,,,,,,,,,,annual (6); biennial (6),,,herb (6),,,
Sisyrinchium micranthum,,,9.76744186046512 (1),,,,,,,,,,0.1 (1); 0.2 (1); 0.6 (2),,9.76744186046512 (1),,,,nnnnnnnnyyyn (1); ynnnnnnnnnnn (1),,,,,,,,blue_purple (1); white_cream (1),,,,brown (4),,,,fire_killed (1),,,,,,,,,,,,,,,,,rhizomatous (2); tufted (1),,,,,,,,,,corm (1); rhizome (3),,,,annual (6); perennial (6),,,geophyte (1); herb (7),,,
Sisyrinchium rosulatum,,,10.2325581395349 (1),,,,,,,,,,0.05 (1); 0.07 (1); 0.15 (1); 0.2 (1),,9.76744186046512 (1),,,,nnnnnnnnnynn (1); nnnnnnnnnyyy (1),,,,,,,,blue_purple (1); red_brown (1); yellow_orange (1),,,,green (3); red (3),,,,fire_killed (2),,,,,,,,,,,,,,,,,tufted (1),,,,,,,,,,rhizome (1),,,,annual (5),,,herb (5),,,
Smilax australis,,not_applicable (2),,not_parasitic (2),1 (1); 5 (1); 5--20 (2),not_vegetative (1); vegetative (2),,soil_seedbank (1),,,30 (1); 5 (1); >500 (2),,5 (2); 7 (2),,12 (1); 8.13953488372093 (1),insect (2),,,nnnnnnnnynnn (1); nnnnnnnnyyyy (2); nyyyynnnnnnn (1); yynnnnnnyyyy (2); yyyyyyyynnny (1),,glycophyte (2),,,tendrils (1); twining (1),resprouts_non_fire_disturbance (2),endozoochory (4); zoochory (1),green (1),persistent (3),non_nitrogen_fixer (3),,black (4); purple (1),post_fire_recruitment_absent (2),0.8 (1),2-- (2),resprouts (9),,,,,scarify (1),,,dioecious (4),basal_buds (1); basal_stem_buds (5); bud-bearing_root (3); rhizome (2),,,sharp_pointed_defence (2),,not_applicable (2),incompletely_unisexual (1),,climbing (2),yyyyyynnnnnn (1),,not_applicable (2),,,,,,,rhizome (1),,,,perennial (7),,birds (3); cassowaries (1); vertebrates (2),climber (7); climber_herbaceous (9); climber_woody (2); herb (1),,,
Smilax glyciphylla,,not_applicable (1),11.6279069767442 (1),not_parasitic (1),5--20 (1),vegetative (1),,,,,>500 (1),,4 (1),,10.6976744186047 (1); 12 (1); 12.093023255814 (1),insect (1),,,nnnnnnnnnyyy (1); yynnnnnnnnyy (2); yynnnnnnyyyy (1); yyyyyynnnnnn (1),,glycophyte (1),,,tendrils (1); twining (2),resprouts_non_fire_disturbance (1),endozoochory (3); zoochory (1),white_cream (1),persistent (1),non_nitrogen_fixer (1),,black (2),post_fire_recruitment_absent (1),,2-- (1),resprouts (4),,,,,,,,dioecious (2),basal_buds (1); basal_stem_buds (3),,,absent (1),,not_applicable (1),,,climbing (2),yyyyyyyyynnn (1),,not_applicable (1),,,,,,,,,,,perennial (3),,birds (1); vertebrates (2),climber (7); climber_herbaceous (5); climber_woody (1),,,
Solanum americanum,,not_applicable (1),8.6046511627907 (1),not_parasitic (1),0--1 (1),not_vegetative (1),,,,,<10 (1),,0.45 (1); 1.3 (3); 2 (1),,8.6046511627907 (1),insect (2),,,nnnnnnnnnnnn (1); nnnnnnnnyyyn (1); nnnnnnynnnnn (1),,salinity_tolerance_undefined (1),,,,,endozoochory (2),blue_purple (1); green (1); white_cream (1); yellow_orange (1),persistent (1),non_nitrogen_fixer (1),,black (3); purple (3),,,2-- (1),fire_killed (2),non_mycorrhizal (1),,,,,,,,,,,absent (1),,not_applicable (1),,,erect (4); spreading (4),,,not_applicable (1),,,,,,,,,,,annual (2); short_lived_perennial (4),,birds (1); vertebrates (1),herb (8); shrub (5),,,
Solanum aviculare,,days (1),21.8604651162791 (1),not_parasitic (1),1 (2); 1--5 (1),not_vegetative (1),,soil_seedbank (2),non_clonal (1),,<10 (1),,1 (1); 2 (1); 4 (7),,11.6279069767442 (1),insect (1),biotic_unspecialised (1),,nnnnnyyyyyyn (1); yynnnnnnnnny (2); yynnnnnnyyyy (1),,salinity_tolerance_undefined (1),,,,,endozoochory (2),blue_purple (1),persistent (1),non_nitrogen_fixer (2),,orange (4); red (4),post_fire_recruitment (1); post_fire_recruitment_absent (1),0 (2); 0.033333333 (1); 0.72 (1); 0.8 (1); 0.95 (1),2-- (1),fire_killed (4),arbuscular_mycorrhizal (1),,,,,,,,none (1),,,absent (1),,less_than_1_month (1),,,erect (5),nnyyyyyyyyyy (1),112 (1),less_than_1_month (1),,,,,,,,,,,perennial (7),,birds (2),shrub (15); tree (1),,,
Solanum betaceum,,,,,,,,,,,,,3 (1); 6 (1),,,,,,nnnnnnnnnnnn (1); nnnnnnnnnyyn (1),,,,,,,,blue_purple (1); pink (1),,,,red (3),,,,,,,,,,,,,,,,,,,,,,nnnnnnnnynnn (1),,,,,,,,,,,,,perennial (4),,,tree (5),,,
Solanum chenopodioides,,,11.6279069767442 (1),,,not_vegetative (1),,,,,,,1 (3),,1.62790697674419 (1),,,,nnnnnnnnnynn (1); nnnnnnyynnnn (1); yynnnnnnnnny (1),,,,,,,,white_cream (1),,,,black (3),,,,resprouts (1),,,,,,,,,,,,,,,,,sprawling (3),yyyyynnnnnny (1),,,,,,,,,,,,,perennial (4),,,herb (4),,,
Solanum chrysotrichum,,,,,,,,,,,,,3 (1); 4 (2); 7 (1),,,,,,,,,,,,,,,,,,orange (3); yellow (3),,,,,,,,,,,,,,,,,,,,,erect (1),,,,,,,,,,,,,,perennial (4),,,shrub (4); tree (2),,,
Solanum linearifolium,,days (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,50--100 (1); <10 (1),,4 (4),,,insect (1),,,yynnnnnnyyyy (2),,salinity_tolerance_undefined (1),,,,,endozoochory (1),blue_purple (1),long_persistent (1); persistent (1),non_nitrogen_fixer (1),,purple (2); red (1); yellow (3),post_fire_recruitment (2),,10-- (1); 2-- (1),fire_killed (2),,,,,,,juvenile_fire_killed (1),,,establish_post_fire (1),,absent (1),,not_applicable (1),,,erect (3),,,not_applicable (1),,,,,,,,,,,perennial (4); short_lived_perennial (1),,birds (1),shrub (6); tree (1),,,
Solanum linnaeanum,,,,,,,,,,,,,0.6 (1); 1 (3); 1.6 (1),,,,,,nnnnnnnnnnnn (1),,,,,,,,blue_purple (1),,,,black (2); brown (3); yellow (2),,,,,,,,,,,,,,,,,,,,,prostrate (1),,,,,,,,,,,,,,perennial (6),,,shrub (6),,,
Solanum lycopersicum,,,6.74418604651163 (1),,,,,,,,,,0.3 (1); 0.5 (2); 1.5 (5),,3.48837209302326 (1),,,,yynnnnnnnnyy (1),,,,,,,,yellow_orange (1),,,,pink (1); red (5); yellow (1),,,,,,,,,,,,,,,,,,,,,erect (2); sprawling (2),,84 (1),,,,,,,,,,,,annual (4); perennial (1); short_lived_perennial (5),,,herb (7),,,
Solanum mauritianum,,,9.53488372093023 (1),,1 (1),not_vegetative (1),,,,,,,4 (5),,12 (1); 12.093023255814 (1); 8.37209302325581 (1),,,,nnyyyyyyyyyn (2); yyyyyynnnnnn (1),,,,,,,,blue_purple (1),,,,yellow (3),post_fire_recruitment_absent (1),,,fire_killed (1); resprouts (3),,,,,,,,,none (1),,,,,,,,,nnyyynnnnnnn (1); yyyyyynnnnnn (1),,,,,,,,,,,,,perennial (4),,birds (1); flying_vertebrates (1),shrub (6); tree (4),,,
Solanum nigrum,,,,not_parasitic (1),1 (1),,,none (1); soil_seedbank (2),,,,,0.3 (1); 1 (6),,12 (1),,,,nnnnnnnnyyyn (1); nnnnnyyyynnn (1); yyyyyyyyyyyy (1),,,,,,,zoochory (2),white_cream (1),,non_nitrogen_fixer (1),,"black (4); green (1); purple (3), black, green",post_fire_recruitment (2); post_fire_recruitment_absent (1),,,fire_killed (8),arbuscular_mycorrhizal (2),,,,,,,,none (3),,,absent (1),,,,,erect (4); prostrate (1); spreading (2),nyyyyyyyyynn (1),,,,,,,,,no_storage_organ (1),,,tap_root_present (1),"annual, annual (4); biennial (1); perennial (3); short_lived_perennial (4)",,birds (3),herb (13); shrub (7),fruit,,
Solanum prinophyllum,,days (1),36 (2); 8.13953488372093 (1),not_parasitic (1),1--5 (1); 3 (3),not_vegetative (2),,soil_seedbank (3),non_clonal (1),,50--100 (1); <10 (1),,0.5 (3),,8.13953488372093 (1),insect (1),biotic_unspecialised (1),,nnnnnnnnnnnn (1); yynnnnnnyyyy (1); yyyyyyyyyyyy (2),,salinity_tolerance_undefined (1),,,,,endozoochory (2),blue_purple (1),long_persistent (1); persistent (1),non_nitrogen_fixer (2),,green (3); purple (3),post_fire_recruitment (1); post_fire_recruitment_absent (1),,10-- (1); 2-- (1),fire_killed (7),arbuscular_mycorrhizal (1),,,,,,juvenile_fire_killed (1),,none (1),establish_post_fire (1),,sharp_pointed_defence (1),,not_applicable (1),,,sprawling (3),,91 (1),not_applicable (1),,,,,,,,,,,annual (3); short_lived_perennial (5),,birds (1),herb (8); shrub (3); subshrub (2),,,
Solanum pseudocapsicum,,,,,,not_vegetative (1),,,,,50--100 (1),,1 (2); 2 (6),,,,,,nnnnnnnnnnny (2); nnnnnnnnnynn (1); nnynnnnnnnnn (1); yynnnnyyyyyy (1); yyyyynnnyyyy (1),,,,,,,,white_cream (1),,,,orange (4); red (4),,,,,,,,,,,,,,establish_anytime (1),,,,,,,erect (1); prostrate (1),yynnnnyyyyyy (1); yyyyyyyynnny (1),,,,,,,,,,,,,perennial (6); short_lived_perennial (1),,birds (1),shrub (7),,,
Solanum pungetium,,days (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,<10 (1),,0.3 (1); 1.5 (4),,,insect (1),,,yyyyynnnyyyy (3),,salinity_tolerance_undefined (1),,,,,endozoochory (2),blue_purple (1),persistent (1),non_nitrogen_fixer (1),,yellow (3),,,2-- (1),fire_killed (2),,,,,,,,,,,,sharp_pointed_defence (1),,not_applicable (1),,,sprawling (3),,,not_applicable (1),,,,,,,,,,,annual (3); short_lived_perennial (4),,birds (1); vertebrates (1),herb (7); shrub (1); subshrub (2),,,
Solanum seaforthianum,,,,,,,,,,,,,5 (1),,,,,,nnnnnnnnnyyn (1); nnnnynnnnnnn (1); nnnynnnnnnnn (1); yyyyynnnyyyy (1); yyyyyyyynnny (1),,,,,,,,blue_purple (1),,,,red (2),,,,,,,,,,,,,,,,,,,,,sprawling (2),nyyyyyyynnnn (1),,,,,,,,,,,,,perennial (3),,birds (1),climber (3); climber_herbaceous (2); climber_woody (1); shrub (2),,,
Solanum sisymbriifolium,,,,,,,,,,,,,1.5 (4),,,,,,nnnnnnnnynnn (1); yynnnnnnyyyy (1),,,,,,,,blue_purple (1); white_cream (1),,,,red (3),,,,,,,,,,,,,,,,,,,,,erect (4),,,,,,,,,,,,,,annual (5); perennial (1); short_lived_perennial (4),,,herb (5),,,
Solanum stelligerum,,not_applicable (1),,not_parasitic (1),1 (1); 1--5 (1); 5 (1),not_vegetative (1); vegetative (1),,soil_seedbank (1),,,30 (1); 5 (1); 50-500 (1),,2 (4),,,insect (2),,,nnyyyyyynnnn (1); yynnnnnnyyyy (3),,salt_spray_tolerant (1),,,,resprouts_non_fire_disturbance (1),endozoochory (2); zoochory (1),white_cream (1),persistent (2),non_nitrogen_fixer (1),,red (2),post_fire_recruitment (1),0.56 (1); 0.77 (1); 0.8 (1); 0.84 (1),2-- (1),fire_killed (2); resprouts (1),,,,,,,,,none (1),,,absent (1),,not_applicable (1),,,erect (2),nnyyyyyyyynn (1); ynnnnnnnnnny (1),,not_applicable (1),,,,,,,,,,,perennial (3),,birds (2); vertebrates (2),shrub (7),,,
Solenogyne bellioides,,not_applicable (1),,not_parasitic (1),0--1 (1),not_vegetative (1),,,,,<10 (1),,0.05 (1); 0.18 (1),,,insect (2),,,yynnnnnnyyyy (2); yyyyynnnnnyy (1),,salinity_tolerance_undefined (1),,,,resprouts_non_fire_disturbance (1),anemochory (2); zoochory (1),blue_purple (2); green (1); white_cream (2),transient (1),non_nitrogen_fixer (1),,,,,--2 (1),resprouts (1),,,,,,,,gynomonoecious (1),,,,absent (1),,not_applicable (1),unisexual (1),,,,,not_applicable (1),,,,,,,rhizome (1),,,,perennial (2),,invertebrates (1); wind (2),herb (4),,,
Solidago altissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,herb (1),,,
Solidago altissima subsp. altissima,,,,,,,,,,,,,0.8 (1); 2 (2),,12 (1),,,,,,,,,,,,,,,,,,,,resprouts (1),,,,,,,,,,,,,,,,,erect (1); stoloniferous (1),,,,,,,,,,rhizome (1),,,,perennial (2),,,herb (4),,,
Soliva sessilis,,,10 (1),,,,,,,,50--100 (1),,0.2 (1),,,,,,yynnnnnnyyyy (1),,,,,,,,,transient (1),,,brown (1); purple (1),post_fire_recruitment (1),,--2 (1),,,,,,,,,,,establish_anytime (1),,,,,,,erect (1); prostrate (2); spreading (1),,,,,,,,,,,,,,annual (6),,,herb (6),,,
Sonchus asper,,,,not_parasitic (1),1 (1),,,none (1); soil_seedbank (1),,,50--100 (3),,0.2 (3); 0.8 (1); 1.2 (1); 1.5 (3); 1.8 (1); 2 (1),,12 (1),,,,nnnnnnnnnyyy (1); ynnnnnnyyyyy (1),,,,,,,anemochory (2),yellow_orange (1),widely_dispersed (3),non_nitrogen_fixer (1),,brown (4); orange (1); yellow (1),post_fire_recruitment (4),,,fire_killed (7),arbuscular_mycorrhizal (2),,,,,,juvenile_fire_killed (3),hermaphrodite (1),,establish_anytime (3),,absent (1),,,,,erect (2); rosette (5),,,,,,,,,,rhizome (3),,,tap_root_present (2),annual (15); biennial (6),,wind (2),herb (12),,,
Sonchus oleraceus,,,3.48837209302326 (1),not_parasitic (1),0.288461538461538 (1),not_vegetative (1),,none (2); soil_seedbank (1),,,50--100 (2),,0.045 (1); 0.072642302 (1); 0.1 (1); 0.148592691 (1); 0.2 (1); 0.3 (2); 0.8 (1); 1 (1); 1.1 (2); 1.5 (1); 1.8 (3),,3.48837209302326 (2),,,,nnnnnnnnnnnn (1); nnnnnnnnyyyn (1); nnnnnyyyyynn (1); ynnnnnnnnnnn (1); yyyyyyyyyyyy (7),,,,,,,,yellow_orange (2),widely_dispersed (2),non_nitrogen_fixer (3),,brown (3); red (1); yellow (1),post_fire_recruitment (2),,,fire_killed (7); partial_resprouting (1),arbuscular_mycorrhizal (4); proteoid_root (1),,,,,,juvenile_fire_killed (2),hermaphrodite (1),none (2),establish_anytime (2),,absent (1),,,bisexual (1),,erect (2); rosette (1),yyyyyyyyyyyy (1),56 (1),,,,,,,,no_storage_organ (1); rhizome (2),,,tap_root_present (2),annual (15); biennial (4); perennial (1),,,herb (14),,,
Sorghum bicolor,,,5.34883720930233 (1),,,not_vegetative (1),,,,,,,0.8 (1); 1 (1); 2 (1); 2.5 (1); 3 (1); 6 (1),,5.34883720930233 (1),wind (1),,,yynnnnnnnnny (1),,,,,,,anemochory (1),,,,,,,,,,arbuscular_mycorrhizal (1),,,,,,,andromonoecious (1),,,,,,,,,erect (1),,,,,,,,,,rhizome (1),,,,annual (5); perennial (1),,,graminoid (6); herb (5); tussock (2),,,
Sorghum bicolor subsp. x almum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rhizomatous (1),,,,,,,,,,rhizome (1),,,,perennial (1),,,graminoid (1),,,
Sorghum halepense,,,,,,not_vegetative (1); vegetative (1),,,,,,,0.5 (2); 1.5 (2); 2 (2); 3 (1),,,wind (1),,,yynnnnnnnnny (1),,,,,,,anemochory (1),,,,,,,,,resprouts (1),arbuscular_mycorrhizal (1),,,,,,,andromonoecious (1),,,,,,,,,erect (1); rhizomatous (4),yynnnnnnnnny (1),,,,,,,,,rhizome (5),,,,perennial (6),,,graminoid (5); herb (4); tussock (2),,,
Sorghum leiocladum,,not_applicable (1),,not_parasitic (1),1--5 (1),not_vegetative (1); vegetative (1),,,belowground_clonal (1),,<50 (1),,0.6 (1); 1 (3); 1.5 (2),,12 (1),abiotic (1); wind (1),,,yynnnnnnnnny (3); yyynnnnnnnnn (1); yyynnnnnnnyy (1),,salinity_tolerance_undefined (1),,,,resprouts_non_fire_disturbance (1),anemochory (1); epizoochory (2); myrmecochory (1); zoochory (1),,persistent (1),non_nitrogen_fixer (1),,,,0.65 (1); 0.7 (1); 0.75 (1); 0.8 (1),2-- (1),fire_killed (1); resprouts (2),non_mycorrhizal (1),,,,none (1),,,andromonoecious (1),,,,absent (1),,not_applicable (1),,,erect (1); rhizomatous (1),,,not_applicable (1),,,,,,,rhizome (1),,,,perennial (3),,ants (1); mammals (1),graminoid (4); graminoid_not_tussock (1); herb (4); tussock (1),,,
Sparganium subglobosum,,days (2); weeks (2),,not_parasitic (2),0--1 (2),vegetative (2),,,,,>500 (2),,1 (1); 1.3 (1),,,abiotic (2),,,yynnnnnnnyyy (1); yyynnnnnnyyy (1); yyyyynnnnnny (2),,salinity_tolerance_undefined (2),,,,resprouts_non_fire_disturbance (2),epizoochory (2),white_cream (1),persistent (2),non_nitrogen_fixer (2),,,,,2-- (2),resprouts (2),,,aquatic (2),,,,,monoecious (3),,,,absent (2),,aquatic (2),unisexual (1),,,,,aquatic (2),,,,,,,rhizome (2),,,,perennial (3),,birds (2),herb (5),,,
Spartium junceum,,,,,,,,,,,,,3 (2),,,,,,,,,,,,,,,,,,black (2),,,,,,,,,,,,,,,,,,,,,erect (1),,,,,,,,,,,,,,perennial (3),,,shrub (3),,,
Spathodea campanulata,,,,,,,,,,,,,10 (1),,,,,,nnnnyyyyyyyy (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (1),,birds (1),climber_herbaceous (1); tree (2),,,
Spathodea campanulata subsp. campanulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,tree (1),,,
Spathodea campanulata subsp. nilotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,tree (1),,,
Spergularia diandra,,,,not_parasitic (1),,,,,,,,,0.05 (1); 0.2 (2); 0.25 (1),,,,,,nnnnnnnnyyyn (1); nnnnyyyyyynn (1),,,,,,,,pink (1),,,,,,,,,,,,,,,,hermaphrodite (1),,,,absent (1),,,,,decumbent (1); erect (1); mat-forming (1),,,,,,,,,,,,,tap_root_present (4),annual (6); perennial (3),,,herb (6),,,
Spergularia levis,,,,,,,,,,,,,,,,,,,nnnnnnnnyyyn (1),,,,,,,,white_cream (1),,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,tap_root_present (2),perennial (3),,,herb (3),,,
